frequency_hz,comsol_s11_db,comsol_s12_db,comsol_s21_db,comsol_s22_db,delta_s11_complex,delta_s11_db,delta_s12_complex,delta_s12_db,delta_s21_complex,delta_s21_db,delta_s22_complex,delta_s22_db,hfss_s11_db,hfss_s12_db,hfss_s21_db,hfss_s22_db
3150000000.0000005,-23.63659502241208,-0.5299230455799985,-0.5299276267157008,-23.656973085958835,0.020285347297759205,3.0742551184850093,0.07401097820282374,0.04668765020933774,0.07401157062349634,0.0466830690736354,0.019793174913660155,3.0975988719830845,-26.71085014089709,-0.5766106957893362,-0.5766106957893362,-26.75457195794192
3200000000.0,-23.999572736832768,-0.5380436524204388,-0.5380488189805532,-24.024911803164688,0.018212274290522176,2.813705696577294,0.07514943118636049,0.047302221188893046,0.07514998223119333,0.047297054628778645,0.017725009481190553,2.8536790436834103,-26.813278433410062,-0.5853458736093319,-0.5853458736093319,-26.8785908468481
3250000000.0,-24.451877931442503,-0.5460468753904097,-0.5460525851554752,-24.483500010375604,0.015969350831334696,2.5314127031459535,0.07630732266625884,0.047938700715487226,0.07630781439966632,0.047932990950421805,0.015489408794665448,2.5906225387382875,-26.983290634588457,-0.593985576105897,-0.593985576105897,-27.07412254911389
3300000000.0000005,-25.003711590958734,-0.5539713021657366,-0.5539774777667066,-25.04330419926058,0.01357309828899705,2.220433901216701,0.07748484400294103,0.048562157772658376,0.07748526293605548,0.04855598217168844,0.013106906904543582,2.3025419237213676,-27.224145492175435,-0.602533459938395,-0.602533459938395,-27.345846122981946
3350000000.0,-25.668340684344017,-0.5618599926096066,-0.5618665333529135,-25.718146909713102,0.011042635358253242,1.8717678176565968,0.07868146530069216,0.049136409104802325,0.07868180341898906,0.049129868361495466,0.010604997280652825,1.9818487049446745,-27.540108502000614,-0.6109964017144089,-0.6109964017144089,-27.699995614657777
3400000000.0000005,-26.463032770323483,-0.5697592928824642,-0.5697660880551585,-26.52615833092497,0.008401123134513279,1.4735407841785566,0.07989592130995288,0.049625130854640376,0.07989617631398314,0.04961833568194607,0.008027038884660095,1.618623840876804,-27.93657355450204,-0.6193844237371046,-0.6193844237371046,-28.144782171801776
3450000000.0,-27.41018806684336,-0.5777174647231643,-0.5777244057772478,-27.491115985214346,0.005681691912260759,1.0099897420217907,0.08112622237100696,0.04999303800942967,0.08112639722154552,0.04998609695534617,0.005467285872537041,1.1998872273075385,-28.42017780886515,-0.627710502732594,-0.627710502732594,-28.691003212521885
3500000000.0,-28.538288784919864,-0.5857831655351893,-0.5857901552901394,-28.64376447869205,0.002967612480257169,0.4605565682637689,0.08236969126061339,0.050207096300183496,0.0823697932463504,0.050200106545233325,0.0032650565259213205,0.709161998316084,-28.998845353183633,-0.6359902618353728,-0.6359902618353728,-29.352926477008133
3550000000.0000005,-29.88094281077105,-0.5940038236921716,-0.5940107817402581,-30.021481837243222,0.001207861774791661,-0.1993432464536582,0.08362302584886849,0.050237726932983895,0.08362306543922952,0.050230768884897414,0.002847007615771681,0.12809562128514784,-29.68159956431739,-0.6442415506251555,-0.6442415506251555,-30.14957745852837
3600000000.0,-31.46721514589416,-0.6024239615816449,-0.6024308260740976,-31.659320925190606,0.0033202759579259453,-0.9894599535368762,0.0848823864749366,0.05005996106127686,0.08488237619306173,0.050053096568824174,0.0048025611707218675,-0.5527265678264257,-30.477755192357282,-0.6524839226429218,-0.6524839226429218,-31.10659435736418
3650000000.0000005,-33.2779554834505,-0.6110835256638427,-0.6110902523386496,-33.54472220312348,0.006141728153736456,-1.88339902468363,0.08614350594116174,0.049654498727519814,0.0861434594201497,0.04964777205271209,0.007469883879192885,-1.2859719448165023,-31.394556458766868,-0.6607380243913625,-0.6607380243913616,-32.258750258306975
3700000000.0,-35.091872313806455,-0.6200162875390918,-0.6200228471789334,-35.44546693488539,0.00900938444134274,-2.6608012568177273,0.0874018190591577,0.049008626612444206,0.08740175035991488,0.049002066972602565,0.010293636475745533,-1.79285249159674,-32.43107105698873,-0.669024914151536,-0.669024914151536,-33.65261444328865
