frequency_hz,hfss_s11_db,comsol_s11_db,delta_s11_db,hfss_s11_phase_deg,comsol_s11_phase_deg,delta_s11_phase_deg,delta_s11_complex,hfss_s21_db,comsol_s21_db,delta_s21_db,hfss_s21_phase_deg,comsol_s21_phase_deg,delta_s21_phase_deg,delta_s21_complex,hfss_s12_db,comsol_s12_db,delta_s12_db,hfss_s12_phase_deg,comsol_s12_phase_deg,delta_s12_phase_deg,delta_s12_complex,hfss_s22_db,comsol_s22_db,delta_s22_db,hfss_s22_phase_deg,comsol_s22_phase_deg,delta_s22_phase_deg,delta_s22_complex
7550000000.000001,-27.262369158138142,-20.099150174054333,7.163218984083809,107.094760120479,101.3143273314205,-5.780432789058494,0.055916720245313814,-1.4230767455325926,-1.4654466787049325,-0.042369933172339946,-150.466523981201,-161.48414508195927,-11.017621100758276,0.16263833236573597,-1.4230767455325926,-1.4654379257760857,-0.04236118024349311,-150.466523981201,-161.48415705361688,-11.01763307241589,0.16263856870404486,-27.32025860914968,-20.224070134897833,7.096188474251846,111.646099583473,105.25678865132136,-6.389310932151659,0.05487883579697605
7600000000.000001,-26.457168350085688,-19.73656028328266,6.7206080668030275,104.592170754067,97.24827364267348,-7.343897111393517,0.05624978928764842,-1.4364468018831418,-1.4812964176800474,-0.044849615796905606,-156.421688827257,-167.48691713789546,-11.065228310638474,0.16307023508343108,-1.4364468018831418,-1.481286364376673,-0.04483956249353116,-156.421688827257,-167.4869253864188,-11.065236559161804,0.16307042436004454,-26.4776276729054,-19.845175473193763,6.632452199711636,108.808982765138,100.80433807667154,-8.004644688466442,0.05522003913661285
7650000000.0,-25.783781137698362,-19.462657340039183,6.32112379765918,101.589037081666,93.081227372659,-8.507809709007006,0.0560827482188829,-1.449934080501674,-1.496608701790429,-0.04667462128875499,-162.377502460182,-173.48826099105514,-11.110758530873142,0.16347224076592407,-1.449934080501674,-1.4965971804142995,-0.046663099912625405,-162.377502460182,-173.48826697482096,-11.110764514638959,0.16347240582485645,-25.77668182178947,-19.559309479702275,6.217372342087195,105.526444150272,96.2726953002591,-9.253748850012897,0.05507414195336047
7700000000.0,-25.229124712935782,-19.27309749671196,5.9560272162238235,98.23742427828441,88.8537503051446,-9.383673973139821,0.05541594416135635,-1.4634767250419476,-1.511271078733433,-0.047794353691485325,-168.333934857956,-179.48899152642076,-11.155056668464766,0.16385822728580354,-1.463476725041968,-1.5112579786634392,-0.04778125362147123,-168.333934857955,-179.48899699437516,-11.155062136420156,0.1638583948981513,-25.20075394664774,-19.36136995038339,5.839383996264349,101.940787717447,91.69517397049242,-10.245613746954575,0.05444095223014794
7750000000.000001,-24.78256592848831,-19.165005068788673,5.617560859699637,94.6437436217551,84.60053961655927,-10.043204005195832,0.05425435829868341,-1.4770130803502526,-1.5251972235909808,-0.04818414324072817,-174.291034989444,174.5099442965143,-11.199020714041694,0.16424267248009833,-1.4770130803502526,-1.5251825003113053,-0.04816941996105273,-174.291034989444,174.50993734119916,-11.199027669356838,0.164242872765392,-24.73697561988502,-19.2480429477529,5.488932672132119,98.1502890088484,87.10002983905952,-11.050259169788887,0.05332478856633878
7800000000.000001,-24.435797157419785,-19.136823459709717,5.298973697710068,90.8858640084579,80.35336096785448,-10.532503040603416,0.052607444325022124,-1.4904840587505739,-1.5383304909302207,-0.04784643217964679,179.751071003482,168.50750362670675,-11.243567376775246,0.1646401107126849,-1.4904840587505739,-1.5383141749880815,-0.04783011623750766,179.751071003482,168.5074929659594,-11.24357803752261,0.16464037648913354,-24.375577328781475,-19.21758400947681,5.157993319304666,94.2264985979753,82.51303830214424,-11.713460295831055,0.051734296699787484
7850000000.000001,-24.182551400600353,-19.188224966000536,4.994326434599817,87.0236795932227,76.14349879331021,-10.880180799912466,0.05048899957000888,-1.503835404871082,-1.5506463414154912,-0.046810936544409154,173.792184670714,162.50258788023189,-11.289596790482108,0.16506457481914721,-1.503835404871103,-1.5506285476034134,-0.0467931427323105,173.792184670714,162.50257113072348,-11.289613539990512,0.16506494076519362,-24.109280125459236,-19.269699865299913,4.839580260159323,90.2245809963286,77.95962739503314,-12.264953601295474,0.04968227757488406
7900000000.0,-24.018324056393325,-19.32007118922448,4.698252867168847,83.1059394938985,72.00408906748305,-11.101850426415467,0.047917100730618084,-1.5170197695946523,-1.5621535473781536,-0.04513377778350125,167.83204296314304,156.49408541550955,-11.337957547633494,0.16552904230747154,-1.5170197695946306,-1.5621344837369593,-0.045114714142328705,167.83204296314304,156.4940600998089,-11.337982863334133,0.1655295437711299,-23.932826899354644,-19.40551467899221,4.527312220362436,86.18985588999571,73.46691369562744,-12.722942194368272,0.047185544242700585
7950000000.0,-23.940150523224574,-19.534415694752767,4.405734828471807,79.17495196799221,67.97266000830123,-11.202291959690967,0.04491414139702235,-1.529998512195261,-1.5728941210461513,-0.04289560885089028,161.870328473009,150.48091517791048,-11.389413295098535,0.16604490613388548,-1.5299985121952404,-1.5728740962442873,-0.0428755840490469,161.870328473009,150.48087882925813,-11.38944964375088,0.16604557742732567,-23.842639855131146,-19.62761333807746,4.215026517053687,82.1622528579999,69.06595186365733,-13.096300994342585,0.04426482041695762
8000000000.0,-23.94644762860778,-19.834538007608316,4.111909620999462,75.2701295617876,64.09424115011834,-11.175888411669263,0.041507024382952215,-1.5427431611465512,-1.5829419498974318,-0.040198788750880565,155.906681795669,144.46206971267918,-11.444612082989806,0.1666214914746577,-1.5427431611465614,-1.5829213763759264,-0.040178215229365044,155.906681795669,144.46202002195446,-11.444661773714529,0.16662236356093907,-23.83657806842823,-19.940160374886375,3.8964176935418564,78.1796609098208,64.79455428083956,-13.385106628981248,0.04094468919365593
