frequency_hz,reference_s11_db,rebuilt_s11_db,delta_s11_db,delta_s11_complex,delta_s11_phase_deg,reference_s21_db,rebuilt_s21_db,delta_s21_db,delta_s21_complex,delta_s21_phase_deg,reference_s12_db,rebuilt_s12_db,delta_s12_db,delta_s12_complex,delta_s12_phase_deg,reference_s22_db,rebuilt_s22_db,delta_s22_db,delta_s22_complex,delta_s22_phase_deg
3300000000.0,-27.224145492175435,-27.224145492210514,-3.5079494864476146e-11,2.7797220541020083e-13,-2.8342128643998876e-10,-0.602533459938395,-0.6025334599382627,1.3233858453531866e-13,5.131031474004627e-13,-3.149125404888764e-11,-0.602533459938395,-0.6025334599382823,1.1268763699945339e-13,5.130537430261558e-13,-3.149125404888764e-11,-27.345846122981946,-27.345846123010702,-2.8755664516211255e-11,2.413490955408519e-13,2.603997018013615e-10
3350000000.0,-27.540108502000614,-27.54010850204262,-4.200728653813712e-11,2.849843697568448e-13,-2.730189407884609e-10,-0.6109964017144089,-0.6109964017142704,1.3855583347321954e-13,5.354924715161192e-13,-3.291233952040784e-11,-0.6109964017144089,-0.6109964017142808,1.2811973704174306e-13,5.354902272589773e-13,-3.291233952040784e-11,-27.699995614657777,-27.699995614686234,-2.8457236567192012e-11,2.1699688578041998e-13,2.361844053666573e-10
3400000000.0,-27.93657355450204,-27.93657355455125,-4.920863716506574e-11,2.8741711509502386e-13,-2.5150370674964506e-10,-0.6193844237371046,-0.6193844237369575,1.4710455076283324e-13,5.447545610442279e-13,-3.3509195418446325e-11,-0.6193844237371046,-0.6193844237369658,1.3877787807814457e-13,5.447095322196465e-13,-3.3509195418446325e-11,-28.144782171801776,-28.144782171831146,-2.937028398264374e-11,1.954964132344729e-13,2.1049118004157208e-10
3450000000.0,-28.42017780886515,-28.42017780892146,-5.630695909530914e-11,2.8505683679594237e-13,-2.177955593651859e-10,-0.627710502732594,-0.6277105027324361,1.5787371410169726e-13,5.393239627520131e-13,-3.319655661471188e-11,-0.627710502732594,-0.6277105027324457,1.4832579608992091e-13,5.408699501262695e-13,-3.3310243452433497e-11,-28.691003212521885,-28.691003212553543,-3.1658231591791264e-11,1.7928249526032188e-13,1.8559376258053817e-10
3500000000.0,-28.998845353183633,-28.99884535324666,-6.302869337559969e-11,2.7846132190924637e-13,-1.7109869077103212e-10,-0.6359902618353728,-0.6359902618352119,1.6087131626818518e-13,5.274942056130296e-13,-3.2514435588382185e-11,-0.6359902618353728,-0.6359902618352213,1.5143442055887135e-13,5.273986376516575e-13,-3.2514435588382185e-11,-29.352926477008133,-29.3529264770436,-3.54667406554654e-11,1.699786114011965e-13,1.6427748050773516e-10
3550000000.0,-29.68159956431739,-29.68159956438629,-6.889777637297811e-11,2.677489245372353e-13,-1.1030465429939795e-10,-0.6442415506251555,-0.6442415506250049,1.5065726444163374e-13,5.042347592100911e-13,-3.1093350116861984e-11,-0.6442415506251555,-0.6442415506250132,1.4233059175694507e-13,5.041691938139812e-13,-3.1093350116861984e-11,-30.14957745852837,-30.149577458569144,-4.077449489159335e-11,1.671972959098862e-13,1.5049295143398922e-10
3600000000.0,-30.477755192357282,-30.477755192430763,-7.348077701863076e-11,2.538377394238309e-13,-3.4503955248510465e-11,-0.6524839226429218,-0.652483922642801,1.2079226507921703e-13,4.695738123644663e-13,-2.8990143619012088e-11,-0.6524839226429218,-0.6524839226428104,1.113553693699032e-13,4.695312735582377e-13,-2.8990143619012088e-11,-31.10659435736418,-31.106594357411822,-4.764189043271472e-11,1.6894921014041518e-13,1.4881607057759538e-10
3650000000.0,-31.394556458766868,-31.394556458842814,-7.594636031171831e-11,2.3707807082817545e-13,5.809397407574579e-11,-0.6607380243913616,-0.6607380243912492,1.1246559239452836e-13,4.288702305753803e-13,-2.6489033189136535e-11,-0.6607380243913625,-0.6607380243912585,1.0402789740737717e-13,4.270878336865643e-13,-2.6403768060845323e-11,-32.258750258306975,-32.258750258363015,-5.60405055693991e-11,1.7234163766973476e-13,1.6549961401324254e-10
3700000000.0,-32.43107105698873,-32.431071057063846,-7.511857802455779e-11,2.183113498053182e-13,1.6842705008457415e-10,-0.669024914151536,-0.6690249141514506,8.537615059367454e-14,3.7836523249863954e-13,-2.3419488570652902e-11,-0.669024914151536,-0.6690249141514506,8.537615059367454e-14,3.7836523249863954e-13,-2.3419488570652902e-11,-33.65261444328865,-33.65261444335427,-6.561862164744525e-11,1.7452979040462704e-13,2.1088908397359774e-10
3750000000.0,-33.56357793001873,-33.56357793008762,-6.888711823194171e-11,1.9818482786026568e-13,2.9399416234809905e-10,-0.6773653328256755,-0.6773653328256086,6.683542608243442e-14,3.2606592957197216e-13,-2.0179413695586845e-11,-0.6773653328256755,-0.6773653328256086,6.683542608243442e-14,3.2606592957197216e-13,-2.0179413695586845e-11,-35.34542339867769,-35.34542339875296,-7.527489742642501e-11,1.7358724704979938e-13,3.036007001355756e-10
