frequency_hz,s11_real,s11_imag,s11_db,s11_phase_deg,s21_real,s21_imag,s21_db,s21_phase_deg,s12_real,s12_imag,s12_db,s12_phase_deg,s22_real,s22_imag,s22_db,s22_phase_deg
4550000000.0,-0.012694879286861388,0.0494223649778087,-25.844040329387653,104.405843283203,-0.8442400968309753,-0.33816665080917246,-0.8244301630701013,-158.171062287308,-0.8442400968309753,-0.33816665080917246,-0.8244301630701013,-158.171062287308,-0.018956761907206368,0.04675665272685461,-25.942194947449224,112.069333122365
4600000000.0,-0.009449846095639354,0.05194487379547424,-25.547742951723347,100.310530439662,-0.8730911317489294,-0.25098126244395125,-0.8339882771181757,-163.962022904114,-0.8730911317489294,-0.25098126244395125,-0.8339882771181757,-163.962022904114,-0.015777699050396592,0.049951071948563346,-25.6160871131722,107.529402794774
4650000000.0,-0.005769063376314875,0.053840489107629244,-25.328241311497095,96.1159660089065,-0.8929902286264472,-0.1614006063023965,-0.8434604540809323,-169.754866865638,-0.8929902286264472,-0.1614006063023965,-0.8434604540809323,-169.754866865638,-0.012070492597421809,0.052508925268800376,-25.371703146873408,102.945965713446
4700000000.0,-0.0017802437964626375,0.05502929936060444,-25.183577485464692,91.8529200951663,-0.9037478969774089,-0.07033730463065226,-0.8528269741250096,-175.549728897287,-0.9037478969774089,-0.07033730463065226,-0.8528269741250096,-175.549728897287,-0.00796642078766669,0.054336454118806395,-25.205810313898496,98.3408713633701
4750000000.0,0.0023744848156928796,0.055457333177004194,-25.11286597192932,87.5482969425407,-0.9052663969917717,0.02128272526966511,-0.8620722522420396,178.653229866185,-0.9052663969917717,0.02128272526966511,-0.8620722522420396,178.653229866185,-0.0036134009208732857,0.0553666976185069,-25.116569101777824,93.7340033697063
4800000000.0,0.00654381015853706,0.05509911837343683,-25.116277902654545,83.2270301153212,-0.8975402885590337,0.11252914587229366,-0.8711856212135825,172.853827240314,-0.8975402885590337,0.11252914587229366,-0.8711856212135825,172.853827240314,0.0008294298019457249,0.05556242606131101,-25.103408309997015,89.1447584119618
4850000000.0,0.01057291131452957,0.053959199279313814,-25.195070285037215,78.9137659702856,-0.8806562291790396,0.2024759905545563,-0.880161952809807,167.051866364781,-0.8806562291790386,0.2024759905545561,-0.8801619528098176,167.051866364781,0.005197643061158677,0.054917992229410226,-25.166978529870686,84.5934189559521
4900000000.0,0.014309377623848462,0.052072536899112794,-25.35166702068095,74.6345618828409,-0.8547920587774117,0.29021034243497246,-0.8890020870687171,161.247142881238,-0.8547920587774117,0.29021034243497246,-0.8890020870687171,161.247142881238,0.009327747023314004,0.05346001415572849,-25.309176534904307,80.1026200193354
4950000000.0,0.017609155846996075,0.049503753422313314,-25.589801598165632,70.4188381432092,-0.8202151975565121,0.37484088298353035,-0.8977130457217737,155.439452665974,-0.8202151975565121,0.37484088298353035,-0.8977130457217737,155.439452665974,0.013063487710803217,0.051246841745298734,-25.533240703558256,75.6991270235426
5000000000.0,0.02034230409862762,0.04634522179375171,-25.914736103048156,66.3018926850546,-0.7772803684768305,0.45550629740693266,-0.9063080131894516,149.628599837137,-0.7772803684768305,0.45550629740693266,-0.9063080131894516,149.628599837137,0.016261990982378308,0.048366800882934054,-25.843924143037015,71.4162139194873
5050000000.0,0.022398330587295782,0.0427140420384027,-26.33357690671462,62.32844396184851,-0.7264266407032142,0.5313835224196607,-0.9148060768606304,143.814404734311,-0.7264266407032142,0.5313835224196607,-0.9148060768606304,143.814404734311,0.018799510564788048,0.044935251743486476,-26.247757582545713,67.2970835350993
5100000000.0,0.02369090182872033,0.03874798808649861,-26.85571214239478,58.5579734438214,-0.6681737764257834,0.6016958142599076,-0.9232317273485144,137.996711556711,-0.6681737764257834,0.6016958142599076,-0.9232317273485144,137.996711556711,0.020576553563437596,0.04109054224599225,-26.753416169479088,63.400063793982
5150000000.0,0.024161719511949255,0.0346005508988508,-27.493392963571193,55.0732307134425,-0.6031178529048092,0.6657206012806917,-0.931614128799326,132.175395346104,-0.6031178529048092,0.6657206012806917,-0.931614128799326,132.175395346104,0.021522169033428143,0.03698898187491077,-27.372195077480058,59.8068647058575
5200000000.0,0.023783388266158903,0.03043524423444815,-28.262446690104426,51.9944250438377,-0.5319261262143556,0.7227970673224066,-0.9399861787978658,126.35036801261501,-0.5319261262143556,0.7227970673224066,-0.9399861787978658,126.35036801261501,0.02159720818588474,0.03279900392412741,-28.118553418784792,56.6362365470674
5250000000.0,0.02256112854077041,0.026419376480913054,-29.182970567949518,49.5039510686166,-0.4553311044108398,0.7723333910745395,-0.9483833866125191,120.52158312599802,-0.4553311044108398,0.7723333910745395,-0.9483833866125191,120.52158312599802,0.020796397004444387,0.02869472365988501,-29.010527913462816,54.067414252738
5300000000.0,0.02053322946061751,0.02271752329860104,-30.279363725777454,47.8911538255274,-0.3741238066371759,0.8138135449000038,-0.9568426070685897,114.68903923185802,-0.3741238066371763,0.8138135449000048,-0.9568426070685799,114.68903923185802,0.019149103296324,0.02484913365590845,-30.06930936349891,52.3816313225947
5350000000.0,0.017770184917522934,0.019484958993562815,-31.577383981065672,47.6353413967188,-0.28914620123349066,0.8468035365304325,-0.9654006748389664,108.852781500957,-0.28914620123349066,0.8468035365304325,-0.9654006748389664,108.852781500957,0.016718729643212964,0.02142720316987183,-31.315666150205615,52.036607916239994
5400000000.0,0.014372510571284048,0.016861317254417585,-33.09030784703626,49.55587642707021,-0.2012828397647295,0.8709569611092568,-0.9740929899996549,103.012901579003,-0.2012828397647295,0.8709569611092568,-0.9740929899996549,103.012901579003,0.01360071968786157,0.01857916354037888,-32.75589033478689,53.794322212431
